sep=,
media_type,stream_index,key_frame,pkt_pts,pkt_pts_time,pkt_dts,pkt_dts_time,best_effort_timestamp,best_effort_timestamp_time,pkt_duration,pkt_duration_time,pkt_pos,pkt_size,width,height,pix_fmt,sample_aspect_ratio,pict_type,coded_picture_number,display_picture_number,interlaced_frame,top_field_first,repeat_pict,color_range,color_space,color_primaries,color_transfer,chroma_location
video,0,0,69069,2.302300,69069,2.302300,69069,2.302300,1001,0.033367,112602,349,640,360,yuv420p,N/A,B,70,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,70070,2.335667,70070,2.335667,70070,2.335667,1001,0.033367,107387,4354,640,360,yuv420p,N/A,P,67,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,71071,2.369033,71071,2.369033,71071,2.369033,1001,0.033367,117437,251,640,360,yuv420p,N/A,B,73,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,72072,2.402400,72072,2.402400,72072,2.402400,1001,0.033367,116942,495,640,360,yuv420p,N/A,B,72,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,73073,2.435767,73073,2.435767,73073,2.435767,1001,0.033367,117688,288,640,360,yuv420p,N/A,B,74,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,74074,2.469133,74074,2.469133,74074,2.469133,1001,0.033367,112951,3991,640,360,yuv420p,N/A,P,71,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,75075,2.502500,75075,2.502500,75075,2.502500,1001,0.033367,122423,260,640,360,yuv420p,N/A,B,77,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,76076,2.535867,76076,2.535867,76076,2.535867,1001,0.033367,121904,519,640,360,yuv420p,N/A,B,76,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,77077,2.569233,77077,2.569233,77077,2.569233,1001,0.033367,122683,284,640,360,yuv420p,N/A,B,78,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,78078,2.602600,78078,2.602600,78078,2.602600,1001,0.033367,117976,3928,640,360,yuv420p,N/A,P,75,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,79079,2.635967,79079,2.635967,79079,2.635967,1001,0.033367,126692,248,640,360,yuv420p,N/A,B,81,0,0,0,0,unknown,unknown,unknown,unknown,left
